symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
BNBUSDT,240,-1,0.5506,1.0000,1.0000,877.010010,0.030154,0.025000,0.045000,0.065000,0.8291,1.4923,0.6852,0.6098,0.7860,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9178,C,0.5506,1.1237,0.8718,0.065314,0.6098,0.0000,18.26,0.011575,1.0000,0.7978,1,1,1,1.0,3.0,0.033000,0.086213,0.026613,7
ASTERUSDT,240,-1,0.5581,1.0000,1.0000,1.060400,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.6366,0.7919,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8897,D,0.5581,1.0764,0.8652,0.060952,0.6366,0.0000,9.30,0.025036,1.0000,0.8011,1,1,1,1.0,3.0,0.033000,0.080064,0.024802,6
0GUSDT,240,-1,0.5788,1.0000,1.0000,1.166000,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8413,0.6123,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8826,D,0.5788,0.8144,1.1191,0.087130,0.6123,0.0000,9.65,0.028581,1.0000,0.8105,1,1,1,1.0,3.0,0.033000,0.090309,0.021698,6
VVVUSDT,240,-1,0.5786,1.0000,1.0000,1.023000,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.8517,0.5953,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8768,D,0.5786,0.8045,1.1511,0.095681,0.5953,0.0000,9.64,0.018742,1.0000,0.8104,1,1,1,1.0,3.0,0.033000,0.076246,0.022483,6
TRUMPUSDT,240,-1,0.5896,1.0000,1.0000,6.044000,0.029296,0.025000,0.045000,0.065000,0.8533,1.5360,0.6852,0.7285,0.8481,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9225,C,0.5896,0.9406,0.8079,0.074728,0.6500,0.0000,20.13,0.012722,1.0000,0.8153,1,1,1,1.0,3.0,0.033000,0.074454,0.016049,7
PROMUSDT,240,-1,0.6209,1.0000,1.0000,8.970000,0.053032,0.066555,0.068555,0.070555,1.2550,1.2927,0.6852,0.8484,0.8606,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9644,C,0.6209,0.8076,0.7962,0.094370,0.6500,0.0000,11.71,0.022307,1.0000,0.8294,0,0,0,0.0,-1.0,-0.053032,0.007023,0.054961,2
RAYSOLUSDT,240,-1,0.5667,1.0000,1.0000,1.101800,0.060000,0.025000,0.045000,0.065000,0.4167,0.7500,0.6852,0.6600,0.8100,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8919,D,0.5667,1.0382,0.8459,0.064049,0.6500,0.0000,9.45,0.025597,1.0000,0.8050,1,1,1,1.0,3.0,0.033000,0.114812,0.024233,5
ZROUSDT,240,-1,0.6016,1.0000,1.0000,1.336100,0.029374,0.028666,0.045000,0.065000,0.9759,1.5320,0.6852,0.8472,0.7437,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9358,C,0.6016,0.8087,0.9213,0.074711,0.6500,0.0000,20.48,0.014917,1.0000,0.8207,0,0,0,0.0,-1.0,-0.029374,0.006661,0.040491,2
TONUSDT,240,-1,0.5835,1.0000,1.0000,1.560300,0.059353,0.025000,0.045000,0.065000,0.4212,0.7582,0.6852,0.8470,0.6326,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8867,D,0.5835,0.8089,1.0830,0.084875,0.6326,0.0000,9.83,0.016042,1.0000,0.8126,1,1,1,1.0,3.0,0.033000,0.079280,0.036916,7
JUPUSDT,240,-1,0.6208,1.0000,1.0000,0.247800,0.045816,0.025000,0.045000,0.065000,0.5457,0.9822,0.6852,0.8495,0.8582,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9067,C,0.6208,0.8065,0.7984,0.094008,0.6500,0.0000,13.55,0.019996,1.0000,0.8294,1,1,1,1.0,3.0,0.033000,0.100484,0.027442,6
