symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
METUSDT,60,-1,0.6180,1.0000,1.0000,0.263500,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8480,0.8435,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9053,C,0.6180,0.8080,0.8123,0.089961,0.6500,0.0000,20.60,0.016464,1.0000,0.8281,1,1,0,1.0,2.0,0.017502,0.055028,0.009867,9
ZORAUSDT,60,-1,0.5632,1.0000,1.0000,0.028690,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8592,0.4893,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8502,D,0.5632,0.7975,1.4004,0.131409,0.4893,0.0000,18.77,0.014644,1.0000,0.8034,1,1,1,1.0,3.0,0.020100,0.040084,0.001743,6
ICPUSDT,60,-1,0.5638,1.0000,1.0000,3.119000,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8151,0.5594,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8770,D,0.5638,0.8406,1.2249,0.091796,0.5594,0.0000,18.79,0.013470,1.0000,0.8037,1,1,0,1.0,2.0,0.017502,0.036550,0.008977,8
ARCUSDT,60,-1,0.5607,1.0000,1.0000,0.051320,0.030000,0.017868,0.033353,0.052412,0.5956,1.1118,0.6852,0.6687,0.7601,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9145,C,0.5607,1.0247,0.9015,0.041777,0.6500,0.0000,18.69,0.023824,1.0000,0.8023,1,1,1,1.0,3.0,0.024419,0.069953,0.006820,10
COMPUSDT,60,-1,0.5585,1.0000,1.0000,23.760000,0.016383,0.015000,0.028000,0.040000,0.9156,1.7091,0.6852,0.8421,0.8681,0.6500,1.0000,0.9200,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8971,D,0.5585,0.8137,0.7893,0.095011,0.6500,0.0000,34.09,0.009718,1.0000,0.8013,1,1,1,1.0,3.0,0.020100,0.094697,0.002946,7
MOODENGUSDT,60,-1,0.6246,1.0000,1.0000,0.067470,0.024273,0.015000,0.028000,0.040000,0.6180,1.1536,0.6852,0.8505,0.8805,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9088,C,0.6246,0.8057,0.7781,0.100298,0.6500,0.0000,25.73,0.011249,1.0000,0.8311,1,1,1,1.0,3.0,0.020100,0.077516,0.001779,8
BCHUSDT,60,-1,0.5576,1.0000,1.0000,579.989990,0.026712,0.015000,0.028000,0.040000,0.5616,1.0482,0.6852,0.7599,0.6037,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9107,C,0.5576,0.9016,1.1350,0.057061,0.6037,0.0000,20.87,0.006566,1.0000,0.8009,1,1,1,1.0,3.0,0.020100,0.055156,0.000879,8
BREVUSDT,60,-1,0.6083,1.0000,1.0000,0.201000,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8473,0.7849,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9081,C,0.6083,0.8086,0.8730,0.078464,0.6500,0.0000,20.28,0.015339,1.0000,0.8238,1,1,1,1.0,3.0,0.020100,0.084080,0.004975,7
ALGOUSDT,60,-1,0.5813,1.0000,1.0000,0.120400,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8259,0.6506,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8986,D,0.5813,0.8296,1.0532,0.072411,0.6500,0.0000,19.38,0.015221,1.0000,0.8116,1,0,0,1.0,1.0,0.010800,0.031561,0.004983,6
XRPUSDT,60,-1,0.5605,1.0000,1.0000,1.878400,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.6945,0.7195,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9199,C,0.5605,0.9865,0.9523,0.024937,0.6500,0.0000,18.68,0.007967,1.0000,0.8022,1,1,1,1.0,3.0,0.020100,0.049989,0.000586,8
GPSUSDT,60,-1,0.5593,1.0000,1.0000,0.007518,0.030000,0.021460,0.028716,0.045124,0.7153,0.9572,0.6852,0.8423,0.8730,0.6500,1.0000,0.9200,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8845,D,0.5593,0.8135,0.7848,0.096461,0.6500,0.0000,18.64,0.020511,1.0000,0.8017,1,1,0,1.0,2.0,0.022813,0.064778,0.035515,8
LINKUSDT,60,-1,0.5542,1.0000,1.0000,11.577000,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.7732,0.5628,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8831,D,0.5542,0.8862,1.2174,0.075409,0.5628,0.0000,18.47,0.009633,1.0000,0.7994,1,1,1,1.0,3.0,0.020100,0.062279,0.002851,8
WIFUSDT,60,-1,0.5531,1.0000,1.0000,0.306300,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8583,0.4286,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8309,D,0.5531,0.7983,1.5987,0.152899,0.4286,0.0000,18.44,0.014192,1.0000,0.7989,1,0,0,1.0,1.0,0.010800,0.018609,0.002612,5
ETCUSDT,60,-1,0.5712,1.0000,1.0000,11.232000,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8274,0.5864,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8830,D,0.5712,0.8281,1.1684,0.088331,0.5864,0.0000,19.04,0.008474,1.0000,0.8071,1,1,1,1.0,3.0,0.020100,0.053864,0.002493,8
ADAUSDT,60,-1,0.5998,1.0000,1.0000,0.349600,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.8524,0.7246,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9052,C,0.5998,0.8039,0.9456,0.076471,0.6500,0.0000,19.99,0.011046,1.0000,0.8199,1,1,1,1.0,3.0,0.020100,0.057780,0.001430,7
RPLUSDT,60,-1,0.5636,1.0000,1.0000,1.931000,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.6603,0.7904,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9009,C,0.5636,1.0377,0.8669,0.055732,0.6500,0.0000,18.79,0.012862,1.0000,0.8036,1,0,0,1.0,1.0,0.010800,0.015018,0.007768,5
TIAUSDT,60,-1,0.5590,1.0000,1.0000,0.440300,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.7540,0.6216,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9028,C,0.5590,0.9087,1.1023,0.049475,0.6216,0.0000,18.63,0.016394,1.0000,0.8016,1,1,1,1.0,3.0,0.020100,0.081535,0.002498,7
MUSDT,60,-1,0.5591,1.0000,1.0000,1.546300,0.023135,0.015000,0.028000,0.040000,0.6484,1.2103,0.6852,0.8377,0.8788,0.6500,1.0000,0.9200,1.0000,0.5000,0.5000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8799,D,0.5591,0.8180,0.7797,0.097222,0.6500,0.0000,24.17,0.014316,1.0000,0.8016,1,1,0,1.0,2.0,0.017502,0.029878,0.019401,18
IPUSDT,60,-1,0.5520,1.0000,1.0000,2.048000,0.030000,0.015625,0.031327,0.049228,0.5208,1.0442,0.6852,0.6195,0.7798,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8934,D,0.5520,1.1060,0.8787,0.060199,0.6195,0.0000,18.40,0.022377,1.0000,0.7984,1,1,1,1.0,3.0,0.022126,0.095703,0.014648,7
DOTUSDT,60,-1,0.5585,1.0000,1.0000,1.802000,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.7839,0.5733,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8850,D,0.5585,0.8741,1.1951,0.075679,0.5733,0.0000,18.62,0.012141,1.0000,0.8013,1,1,1,1.0,3.0,0.020100,0.051054,0.001110,8
FILUSDT,60,-1,0.5680,1.0000,1.0000,1.238000,0.030000,0.015000,0.028000,0.040000,0.5000,0.9333,0.6852,0.7549,0.6756,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9144,C,0.5680,0.9076,1.0141,0.038853,0.6500,0.0000,18.93,0.012592,1.0000,0.8056,1,1,1,1.0,3.0,0.020100,0.053312,0.002423,7
