symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
ZROUSDT,1,-1,0.6294,1.0000,1.0000,1.819200,0.003602,0.012368,0.014368,0.016368,3.4333,3.9885,0.5647,0.6835,0.4775,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0630,C,0.5921,0.8262,1.1826,0.079975,0.4775,0.0000,174.73,0.000000,1.0000,0.8165,0.0,-1.0,-0.003602,0.001979,0.004947,2
ZROUSDT,1,-1,0.6112,1.0000,1.0000,1.821600,0.003780,0.012846,0.014846,0.016846,3.3985,3.9276,0.5647,0.6933,0.4266,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0448,C,0.5849,0.8145,1.3238,0.101802,0.4266,0.0000,161.69,0.000000,1.0000,0.8132,0.0,-1.0,-0.003780,0.000549,0.005764,2
HUSDT,1,-1,0.6077,1.0000,1.0000,0.245000,0.002824,0.021449,0.023449,0.026337,7.5958,8.3041,0.5643,0.5424,0.5575,0.6500,1.0000,0.9777,1.0000,0.8000,0.5490,0.3000,0.0670,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0749,C,0.5654,1.0403,1.0122,0.042001,0.5424,0.0000,215.22,0.000000,1.0000,0.8044,0.0,-1.0,-0.002824,0.000082,0.009959,1
IPUSDT,1,-1,0.5679,1.0000,1.0000,1.124000,0.002000,0.003559,0.006000,0.010000,1.7793,2.9999,0.5647,0.4556,0.7620,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9780,C,0.5807,1.2396,0.7411,0.112471,0.4556,0.0000,283.96,0.000000,1.0000,0.8113,1.0,1.0,0.003559,0.003559,0.000000,11
HUSDT,1,-1,0.5521,1.0000,1.0000,0.246800,0.012564,0.024041,0.026041,0.026698,1.9135,2.0727,0.5643,0.5804,0.4375,0.6500,1.0000,0.9777,1.0000,0.8000,0.5490,0.3000,0.0670,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9986,C,0.5528,0.9723,1.2898,0.076687,0.4375,0.0000,43.94,0.000000,1.0000,0.7988,1.0,1.0,0.024041,0.026459,0.006037,10
ZROUSDT,1,-1,0.6143,1.0000,1.0000,1.824500,0.003980,0.014415,0.016415,0.018415,3.6215,4.1240,0.5647,0.7040,0.4266,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0445,C,0.5881,0.8022,1.3238,0.104740,0.4266,0.0000,154.33,0.000000,1.0000,0.8147,0.0,-1.0,-0.003980,0.000438,0.004166,1
RIVERUSDT,1,-1,0.5616,1.0000,1.0000,13.110000,0.005830,0.011518,0.013518,0.015518,1.9758,2.3188,0.5647,0.4961,0.5561,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0176,C,0.5519,1.1384,1.0155,0.054875,0.4961,0.0000,96.33,0.000000,1.0000,0.7983,0.0,-1.0,-0.005830,0.003204,0.006636,7
ZROUSDT,1,-1,0.6175,1.0000,1.0000,1.828000,0.004214,0.016302,0.018302,0.020302,3.8684,4.3430,0.5647,0.7153,0.4266,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0440,C,0.5915,0.7895,1.3238,0.107983,0.4266,0.0000,146.53,0.000000,1.0000,0.8162,0.0,-1.0,-0.004214,0.000000,0.004595,1
UNIUSDT,1,-1,0.5763,1.0000,1.0000,3.496000,0.002000,0.003814,0.006000,0.010000,1.9069,3.0000,0.5278,0.8481,0.7081,0.5000,1.0000,0.7126,1.0000,0.8000,0.3308,0.5000,0.1692,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9729,C,0.5924,0.6223,0.7453,0.141407,0.5000,0.0000,288.15,0.000000,1.0000,0.8166,1.0,1.0,0.003814,0.004291,0.001430,30
AAVEUSDT,1,-1,0.5734,1.0000,1.0000,126.559998,0.002000,0.003832,0.006000,0.010000,1.9161,3.0000,0.5647,0.5490,0.6365,0.5000,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0216,C,0.5613,1.0286,0.8873,0.048892,0.5000,0.0000,286.69,0.000000,1.0000,0.8026,0.0,-1.0,-0.002000,0.000079,0.002607,6
HUSDT,1,-1,0.5544,1.0000,1.0000,0.246530,0.013051,0.022972,0.024972,0.027734,1.7602,1.9134,0.5643,0.5364,0.5058,0.6500,1.0000,0.9777,1.0000,0.8000,0.5490,0.3000,0.0670,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0019,C,0.5533,1.0519,1.1157,0.053720,0.5058,0.0000,42.48,0.000000,1.0000,0.7990,1.0,1.0,0.022972,0.025392,0.002353,8
BNBUSDT,1,-1,0.5571,1.0000,1.0000,620.140015,0.002000,0.003000,0.006000,0.010000,1.5000,3.0000,0.5647,0.5381,0.6491,0.5000,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9940,C,0.5605,1.0495,0.8699,0.054807,0.5000,0.0000,278.56,0.000000,1.0000,0.8022,1.0,1.0,0.003000,0.003161,0.000984,30
XRPUSDT,1,-1,0.5676,1.0000,1.0000,1.520400,0.002000,0.003552,0.006000,0.010000,1.7759,3.0000,0.5647,0.5865,0.5579,0.5000,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0194,C,0.5568,0.9629,1.0122,0.031976,0.5000,0.0000,283.81,0.000000,1.0000,0.8006,0.0,-1.0,-0.002000,0.001118,0.002039,10
LITUSDT,1,-1,0.6276,1.0000,1.0000,1.600000,0.002752,0.005625,0.006000,0.010000,2.0438,2.1800,0.5647,0.6278,0.5736,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0554,C,0.5946,0.8995,0.9845,0.035893,0.5647,0.0000,228.02,0.000000,1.0000,0.8176,0.0,-1.0,-0.002752,0.000000,0.003125,4
HUSDT,1,-1,0.7316,1.0000,1.0000,0.245410,0.003831,0.018513,0.020513,0.027949,4.8323,5.3543,0.5630,0.8491,0.6502,0.6500,1.0000,0.9701,1.0000,0.8000,0.5425,0.3000,0.0694,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0868,C,0.6731,0.6631,0.8659,0.104941,0.5630,0.0000,190.95,0.000000,1.0000,0.8529,0.0,-1.0,-0.003831,0.005705,0.004931,1
BNBUSDT,1,-1,0.6118,1.0000,1.0000,620.159973,0.002000,0.003000,0.006000,0.010000,1.5000,3.0000,0.5647,0.7089,0.6425,0.5000,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0028,C,0.6102,0.7966,0.8789,0.078824,0.5000,0.0000,305.93,0.000000,1.0000,0.8246,1.0,1.0,0.003000,0.003193,0.000951,29
PENGUUSDT,1,-1,0.5839,1.0000,1.0000,0.007196,0.002158,0.004919,0.006000,0.010000,2.2794,2.7801,0.5278,0.8485,0.5541,0.6500,1.0000,0.7126,1.0000,0.5000,0.1692,0.8000,0.3308,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9981,C,0.5850,0.6220,0.9524,0.125914,0.5278,0.0000,270.55,0.000000,1.0000,0.8132,1.0,1.0,0.004919,0.005003,0.001807,19
HYPEUSDT,1,-1,0.5650,1.0000,1.0000,31.131001,0.002261,0.005726,0.006000,0.010000,2.5322,2.6535,0.5278,0.8523,0.4741,0.6500,1.0000,0.7126,1.0000,0.8000,0.3308,0.5000,0.1692,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9886,C,0.5716,0.6193,1.1131,0.145326,0.4741,0.0000,249.89,0.000000,1.0000,0.8072,1.0,1.0,0.005726,0.005943,0.000482,22
FHEUSDT,1,-1,0.5718,1.0000,1.0000,0.044850,0.009249,0.017726,0.019726,0.021726,1.9166,2.1328,0.5198,0.8481,0.7208,0.6500,1.0000,0.6000,1.0000,0.7000,0.3255,0.8000,0.1492,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9830,C,0.5817,0.6129,0.7211,0.118754,0.5198,0.0000,61.83,0.000000,1.0000,0.8118,0.0,-1.0,-0.009249,0.003790,0.030769,3
ZECUSDT,1,-1,0.5682,1.0000,1.0000,291.440002,0.003438,0.003000,0.006000,0.010000,0.8727,1.7453,0.5634,0.8424,0.5597,0.5000,1.0000,0.9726,1.0000,0.8000,0.5446,0.3000,0.0686,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.8997,D,0.6316,0.6688,1.0066,0.132890,0.5000,0.0000,165.29,0.000000,1.0000,0.8342,0.0,-1.0,-0.003438,0.000549,0.004461,9
XRPUSDT,1,-1,0.5974,1.0000,1.0000,1.521200,0.002000,0.004076,0.006000,0.010000,2.0378,2.9999,0.5647,0.5993,0.6379,0.5000,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0362,C,0.5766,0.9422,0.8853,0.050686,0.5000,0.0000,298.72,0.000000,1.0000,0.8094,1.0,1.0,0.004076,0.004996,0.001512,19
ZROUSDT,1,-1,0.6334,1.0000,1.0000,1.832500,0.004354,0.018718,0.020718,0.022718,4.2986,4.7579,0.5647,0.8664,0.3681,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0135,C,0.6249,0.6518,1.5339,0.178773,0.3681,0.0000,145.46,0.000000,1.0000,0.8312,1.0,1.0,0.018718,0.021774,0.003765,48
RIVERUSDT,1,-1,0.7045,1.0000,1.0000,13.085000,0.002062,0.009629,0.011629,0.011892,4.6702,5.6402,0.5634,0.7269,0.6617,0.6500,1.0000,0.9726,1.0000,0.8000,0.5446,0.3000,0.0686,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.1013,B,0.6397,0.7751,0.8515,0.058185,0.5634,0.0000,341.69,0.000000,1.0000,0.8379,0.0,-1.0,-0.002062,0.001299,0.002828,1
FHEUSDT,1,-1,0.5697,1.0000,1.0000,0.044960,0.009380,0.020129,0.022129,0.024129,2.1459,2.3591,0.5278,0.8497,0.5241,0.6500,1.0000,0.7061,1.0000,0.5000,0.1736,0.8000,0.3264,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9852,C,0.5783,0.6211,1.0069,0.132362,0.5241,0.0000,60.74,0.000000,1.0000,0.8103,0.0,-1.0,-0.009380,0.002224,0.028247,2
HUSDT,1,-1,0.6467,1.0000,1.0000,0.246480,0.013370,0.022774,0.024774,0.028411,1.7034,1.8530,0.5630,0.6517,0.7007,0.6500,1.0000,0.9701,1.0000,0.8000,0.5425,0.3000,0.0694,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0356,C,0.6245,0.8638,0.8034,0.049621,0.5630,0.0000,48.37,0.000000,1.0000,0.8310,1.0,1.0,0.022774,0.025195,0.000000,6
HYPEUSDT,1,-1,0.6727,1.0000,1.0000,31.112000,0.002241,0.005119,0.006000,0.010000,2.2845,2.6779,0.5647,0.8493,0.5241,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0335,C,0.6509,0.6649,1.0774,0.125317,0.5241,0.0000,300.23,0.000000,1.0000,0.8429,1.0,1.0,0.005119,0.005336,0.000000,21
RIVERUSDT,1,-1,0.6989,1.0000,1.0000,13.097000,0.002000,0.010537,0.012537,0.014537,5.2685,6.2685,0.5647,0.7212,0.6365,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.1007,B,0.6350,0.7830,0.8873,0.055529,0.5647,0.0000,349.46,0.000000,1.0000,0.8357,0.0,-1.0,-0.002000,0.000611,0.002978,1
LITUSDT,1,-1,0.5803,1.0000,1.0000,1.602000,0.002838,0.006866,0.008866,0.010000,2.4196,3.1244,0.5278,0.8482,0.5322,0.6500,1.0000,0.7126,1.0000,0.8000,0.3308,0.5000,0.1692,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9989,C,0.5809,0.6222,0.9918,0.130059,0.5278,0.0000,204.50,0.000000,1.0000,0.8114,1.0,1.0,0.006866,0.009363,0.001873,19
XRPUSDT,1,-1,0.6084,1.0000,1.0000,1.521600,0.002000,0.004338,0.006000,0.010000,2.1688,3.0000,0.5647,0.6415,0.6079,0.5000,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0433,C,0.5832,0.8803,0.9290,0.052873,0.5000,0.0000,304.21,0.000000,1.0000,0.8124,1.0,1.0,0.004338,0.005258,0.001249,18
ZECUSDT,1,-1,0.5834,1.0000,1.0000,291.940002,0.002000,0.003000,0.006000,0.010000,1.5000,2.9999,0.5634,0.5851,0.8120,0.5000,1.0000,0.9726,1.0000,0.8000,0.5446,0.3000,0.0686,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9641,C,0.6051,0.9629,0.6939,0.117890,0.5000,0.0000,291.67,0.000000,1.0000,0.8223,0.0,-1.0,-0.002000,0.002261,0.002740,8
LTCUSDT,1,-1,0.5991,1.0000,1.0000,55.160000,0.002000,0.003000,0.006000,0.010000,1.5000,3.0000,0.5634,0.8412,0.5221,0.5000,1.0000,0.9726,1.0000,0.8000,0.5446,0.3000,0.0686,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9605,C,0.6237,0.6698,1.0792,0.137304,0.5000,0.0000,299.55,0.000000,1.0000,0.8307,0.0,-1.0,-0.002000,0.000725,0.002175,8
ZROUSDT,1,-1,0.6622,1.0000,1.0000,1.826000,0.002000,0.015225,0.017225,0.019224,7.6123,8.6123,0.5647,0.5871,0.7054,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0878,C,0.6087,0.9619,0.8006,0.055100,0.5647,0.0000,331.09,0.000000,1.0000,0.8239,0.0,-1.0,-0.002000,0.002903,0.002245,4
BERAUSDT,1,-1,0.6661,1.0000,1.0000,0.647300,0.002000,0.003000,0.006000,0.010000,1.5000,3.0000,0.5647,0.8411,0.6063,0.6500,1.0000,0.9802,1.0000,0.8000,0.5511,0.3000,0.0662,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0021,C,0.6647,0.6714,0.9313,0.105741,0.5647,0.0000,333.07,0.000000,1.0000,0.8491,0.0,-1.0,-0.002000,0.000309,0.002008,3
MOVEUSDT,1,-1,0.6364,1.0000,1.0000,0.024390,0.002000,0.005877,0.006000,0.010000,2.9383,3.0000,0.5278,0.8468,0.6908,0.6500,1.0000,0.7126,1.0000,0.5000,0.1692,0.8000,0.3308,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0445,C,0.6092,0.6232,0.7640,0.114041,0.5278,0.0000,318.18,0.000000,1.0000,0.8242,0.0,-1.0,-0.002000,0.002050,0.002050,4
HYPEUSDT,1,-1,0.5825,1.0000,1.0000,31.091999,0.002000,0.004479,0.006000,0.010000,2.2393,3.0000,0.5634,0.4762,0.6914,0.6500,1.0000,0.9726,1.0000,0.8000,0.5446,0.3000,0.0686,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0201,C,0.5711,1.1831,0.8149,0.082792,0.4762,0.0000,291.26,0.000000,1.0000,0.8070,1.0,1.0,0.004479,0.004696,0.000450,20
MOVEUSDT,1,-1,0.5688,1.0000,1.0000,0.024380,0.002000,0.005469,0.006000,0.010000,2.7345,3.0000,0.5241,0.8133,0.6317,0.6500,1.0000,0.6000,1.0000,0.7000,0.3473,0.8000,0.1412,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0180,C,0.5587,0.6445,0.8297,0.103369,0.5241,0.0000,284.41,0.000000,1.0000,0.8014,0.0,-1.0,-0.002000,0.001641,0.002051,2
