symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,strategy_id,strategy_name,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
ICPUSDT,240,-1,0.5734,0.0000,1.0000,4.014000,0.018214,1.000000,1.002000,1.004000,54.9038,55.0137,0.0000,0.4114,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.303169,0.0000,1.0000,31.48,0.024285,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,0.0,0.229696,0.266318,0.015197,100
ALLOUSDT,240,-1,0.5707,0.0000,1.0000,0.145500,0.030000,1.000000,1.002000,1.004000,33.3334,33.4000,0.0000,0.6016,0.4200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.263351,0.0000,1.0000,19.02,0.044218,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.030000,0.037113,0.072165,4
DASHUSDT,240,-1,0.5945,0.0000,1.0000,56.369999,0.024066,1.000000,1.002000,1.004000,41.5529,41.6360,0.0000,0.6863,0.4200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.292144,0.0000,1.0000,24.70,0.032088,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,0.0,0.267341,0.305836,0.004612,100
BTRUSDT,240,-1,0.5962,0.0000,1.0000,0.034010,0.030000,1.000000,1.002000,1.004000,33.3333,33.4000,0.0000,0.4923,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.313583,0.0000,1.0000,19.87,0.061688,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.030000,0.189650,0.074390,27
ZORAUSDT,240,-1,0.5543,0.0000,1.0000,0.051840,0.017108,1.000000,1.002000,1.004000,58.4523,58.5692,0.0000,0.5436,0.4200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.244846,0.0000,1.0000,32.40,0.022811,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.017108,0.008873,0.018711,4
RPLUSDT,240,-1,0.5577,0.0000,1.0000,2.522000,0.013909,1.000000,1.002000,1.004000,71.8973,72.0411,0.0000,0.5558,0.4200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.248645,0.0000,1.0000,40.10,0.018545,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.013909,0.009516,0.019429,4
OMUSDT,240,-1,0.5827,0.0000,1.0000,0.079920,0.024454,1.000000,1.002000,1.004000,40.8931,40.9749,0.0000,0.4442,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.306956,0.0000,1.0000,23.83,0.032605,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,0.0,0.027277,0.201952,0.006006,100
SKYUSDT,240,-1,0.5692,0.0000,1.0000,0.055000,0.026239,1.000000,1.002000,1.004000,38.1114,38.1876,0.0000,0.5965,0.4200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.261659,0.0000,1.0000,21.69,0.034985,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.026239,0.037818,0.027455,2
BASUSDT,240,-1,0.5944,0.0000,1.0000,0.004606,0.030000,0.999998,1.001998,1.003998,33.3333,33.4000,0.0000,0.4859,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.312634,0.0000,1.0000,19.81,0.040359,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.030000,0.022145,0.044507,3
VIRTUALUSDT,240,-1,0.5525,0.0000,1.0000,0.934100,0.021812,1.000000,1.002000,1.004000,45.8468,45.9385,0.0000,0.5374,0.4200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.242925,0.0000,1.0000,25.33,0.029082,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.021812,0.144310,0.060914,18
ATOMUSDT,240,-1,0.5829,0.0000,1.0000,2.436000,0.012721,1.000000,1.000000,1.002000,78.6129,78.6129,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.000000,0.0000,1.0000,45.82,0.016961,0.0000,0.0000,0,0,0,2,indicator_heuristic,0.0,0.0,0.167077,0.180624,0.003695,100
BNBUSDT,240,-1,0.5807,0.0000,1.0000,875.929993,0.010000,1.000000,1.002000,1.004000,100.0003,100.2003,0.0000,0.4371,0.7200,0.0000,0.0000,0.0000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0.0000,?,0.0000,0.0000,0.0000,0.306076,0.0000,1.0000,58.07,0.012792,0.0000,0.0000,0,0,0,5,level_heuristic,0.0,-1.0,-0.010000,0.006188,0.025687,3
