symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,tp1_hit,tp2_hit,tp3_hit,label_win,label_tp_level,label_pnl_pct,label_max_favorable,label_max_adverse,label_bars
AWEUSDT,5,-1,0.6131,1.0000,1.0000,0.090540,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.8099,0.8702,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9630,C,0.6131,0.8460,0.7874,0.089682,0.6500,0.0000,76.63,0.003234,1.0000,0.8259,1,1,1,1.0,3.0,0.007440,0.017340,0.001878,15
ZAMAUSDT,5,-1,0.6047,1.0000,1.0000,0.019740,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.7748,0.8714,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9614,C,0.6047,0.8843,0.7863,0.085846,0.6500,0.0000,75.59,0.006763,1.0000,0.8221,0,0,0,0.0,-1.0,-0.008000,0.000000,0.010638,1
AWEUSDT,5,-1,0.6236,1.0000,1.0000,0.090350,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.8509,0.8737,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9624,C,0.6236,0.8053,0.7843,0.098454,0.6500,0.0000,77.95,0.003254,1.0000,0.8306,1,0,0,1.0,1.0,0.003940,0.007305,0.003984,7
MUSDT,5,-1,0.6025,1.0000,1.0000,1.547500,0.008000,0.020517,0.220517,0.420517,2.5646,27.5646,0.6852,0.8422,0.7567,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.1120,B,0.6025,0.8136,0.9055,0.073586,0.6500,0.0000,75.31,0.009559,1.0000,0.8211,1,0,0,1.0,1.0,0.014662,0.024943,0.000000,73
RPLUSDT,5,-1,0.6014,1.0000,1.0000,2.302000,0.008000,0.008120,0.015157,0.023818,1.0150,1.8946,0.6852,0.7872,0.8322,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9905,C,0.6014,0.8704,0.8234,0.073853,0.6500,0.0000,75.17,0.010826,1.0000,0.8206,1,1,0,1.0,2.0,0.009428,0.022155,0.001303,11
ARCUSDT,5,-1,0.6097,1.0000,1.0000,0.077150,0.006989,0.018600,0.218600,0.418600,2.6612,31.2758,0.6852,0.8445,0.7973,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.1156,B,0.6097,0.8114,0.8593,0.079434,0.6500,0.0000,87.23,0.006880,1.0000,0.8243,0,0,0,0.0,-1.0,-0.006989,0.012703,0.009332,18
MUSDT,5,-1,0.6037,1.0000,1.0000,1.535000,0.008000,0.012541,0.012609,0.019814,1.5676,1.5761,0.6852,0.8376,0.7712,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0556,C,0.6037,0.8180,0.8885,0.073383,0.6500,0.0000,75.47,0.009006,1.0000,0.8217,1,1,0,1.0,2.0,0.012456,0.017003,0.006840,24
COMPUSDT,5,-1,0.6222,1.0000,1.0000,19.469999,0.005860,0.008731,0.010500,0.017000,1.4900,1.7918,0.6852,0.8425,0.8776,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0420,C,0.6222,0.8133,0.7808,0.097806,0.6500,0.0000,106.18,0.003269,1.0000,0.8300,1,1,0,1.0,2.0,0.008986,0.012840,0.000514,8
ESPUSDT,5,-1,0.6050,1.0000,1.0000,0.059670,0.008000,0.009427,0.015103,0.023732,1.1784,1.8878,0.6852,0.7697,0.8809,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0018,C,0.6050,0.8902,0.7778,0.089000,0.6500,0.0000,75.63,0.010787,1.0000,0.8223,0,0,0,0.0,-1.0,-0.008000,0.000503,0.010223,2
AWEUSDT,5,-1,0.6126,1.0000,1.0000,0.090060,0.008000,0.005200,0.010500,0.017000,0.6500,1.3125,0.6852,0.8486,0.8094,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9674,C,0.6126,0.8074,0.8466,0.082828,0.6500,0.0000,76.58,0.003716,1.0000,0.8257,1,1,1,1.0,3.0,0.007440,0.017766,0.002443,15
SNXUSDT,5,-1,0.6068,1.0000,1.0000,0.298000,0.008000,0.021253,0.221253,0.421253,2.6566,27.6565,0.6852,0.8394,0.7871,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.1161,B,0.6068,0.8163,0.8705,0.076160,0.6500,0.0000,75.84,0.007069,1.0000,0.8230,0,0,0,0.0,-1.0,-0.008000,0.016779,0.010067,89
MONUSDT,5,-1,0.6327,1.0000,1.0000,0.022020,0.008000,0.014759,0.214759,0.414759,1.8449,26.8450,0.6852,0.8411,0.9441,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0619,C,0.6327,0.8147,0.7258,0.118887,0.6500,0.0000,79.08,0.006316,1.0000,0.8347,0,0,0,0.0,-1.0,-0.008000,0.008628,0.010899,19
HBARUSDT,5,-1,0.6000,1.0000,0.0000,0.101820,0.003848,0.011393,0.211393,0.411393,2.9605,54.9336,0.6852,0.6528,0.8033,0.6500,1.0000,0.6000,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.1340,B,0.6000,1.0496,0.8529,0.062468,0.6500,1.0000,155.92,0.004054,1.0000,0.8200,1,0,0,1.0,1.0,0.008275,0.012178,0.002161,22
