symbol,tf_minutes,side,final_score,ml_score,heur_score,entry_price,sl_pct,tp1_pct,tp2_pct,tp3_pct,risk_reward,risk_reward_tp2,predictors_score,raw_signals_score,indicators_score,market_score,coverage_score,consensus_score,price10_score,bounce_prob,bounce_score,breakout_prob,breakout_score,trend_strength,momentum_strength,volatility_regime,volume_spike_score,level_aware,market_quality_score,quality_multiplier,quality_grade,original_score,pred_vs_raw,pred_vs_ind,component_std,component_min,ml_heur_gap,score_per_risk,atr_pct,market_factor,score_factor,impulse_phase,momentum_acceleration,rsi_slope,volume_impulse_confirm,nearest_support_dist_atr,nearest_resistance_dist_atr,sr_position,ema_stack,price_vs_emas,bb_position,bb_width,elapsed,remaining,label_enter,label_cancel,weight
BANUSDT,240,-1,0.6112,1.0000,1.0000,0.060790,0.042800,0.022249,0.038934,0.061182,0.5198,0.9097,0.6852,0.8377,0.8171,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9599,C,0.6112,0.8179,0.8386,0.081197,0.6500,0.0000,14.28,0.027810,1.0000,0.8251,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,1,1.0000
CYBERUSDT,240,-1,0.6030,1.0000,1.0000,0.885500,0.025754,0.103586,0.303586,0.503586,4.0222,11.7881,0.6852,0.8465,0.7532,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.1288,B,0.6030,0.8095,0.9097,0.074922,0.6500,0.0000,23.41,0.046825,1.0000,0.8213,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,1,0,4.5435
0GUSDT,240,-1,0.6115,1.0000,1.0000,1.161600,0.042800,0.026883,0.050182,0.078858,0.6281,1.1725,0.6852,0.8378,0.8184,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9663,C,0.6115,0.8178,0.8372,0.081504,0.6500,0.0000,14.29,0.035844,1.0000,0.8252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,0,2.2812
0GUSDT,240,-1,0.6115,1.0000,1.0000,1.161600,0.042800,0.026883,0.050182,0.078858,0.6281,1.1725,0.6852,0.8378,0.8184,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9663,C,0.6115,0.8178,0.8372,0.081504,0.6500,0.0000,14.29,0.035844,1.0000,0.8252,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,1,0,2.2812
BNBUSDT,240,-1,0.6084,1.0000,1.0000,826.469971,0.042800,0.030334,0.035300,0.050200,0.7087,0.8248,0.6852,0.8492,0.7824,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9815,C,0.6084,0.8069,0.8758,0.078760,0.6500,0.0000,14.21,0.017933,1.0000,0.8238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,0,0.6189
BNBUSDT,240,-1,0.6084,1.0000,1.0000,826.469971,0.042800,0.030334,0.035300,0.050200,0.7087,0.8248,0.6852,0.8492,0.7824,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9815,C,0.6084,0.8069,0.8758,0.078760,0.6500,0.0000,14.21,0.017933,1.0000,0.8238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1,1,0,0,0.6189
BNBUSDT,240,-1,0.6084,1.0000,1.0000,826.469971,0.042800,0.030334,0.035300,0.050200,0.7087,0.8248,0.6852,0.8492,0.7824,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9815,C,0.6084,0.8069,0.8758,0.078760,0.6500,0.0000,14.21,0.017933,1.0000,0.8238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2,0,1,0,0.6189
AAVEUSDT,240,-1,0.6021,1.0000,1.0000,171.279999,0.042800,0.053071,0.253071,0.453071,1.2400,5.9129,0.6852,0.8446,0.7509,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,1.0177,C,0.6021,0.8112,0.9125,0.074081,0.6500,0.0000,14.07,0.027573,1.0000,0.8210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,1,1.0000
ATOMUSDT,240,-1,0.6058,1.0000,1.0000,2.266000,0.042800,0.019200,0.035300,0.051566,0.4486,0.8248,0.6852,0.8484,0.7679,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9559,C,0.6058,0.8076,0.8922,0.076847,0.6500,0.0000,14.16,0.023439,1.0000,0.8226,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,1,1.0000
BTCUSDT,240,-1,0.6143,1.0000,1.0000,86936.000000,0.042800,0.036234,0.236234,0.436234,0.8466,5.5195,0.6852,0.8459,0.8236,0.6500,1.0000,0.9200,1.0000,0.7000,0.7000,0.3000,0.3000,0.0000,0.0000,0.0000,0.0000,1,0.0000,0.9886,C,0.6143,0.8100,0.8320,0.084853,0.6500,0.0000,14.35,0.014726,1.0000,0.8264,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,2,0,0,1.7151
