symbol,tf_minutes,direction,entry_price,exit_price,pnl_pct,outcome,bars_to_outcome,p_super,combined_score
ALLOUSDT,1,1,0.097090,0.097150,0.061798,expired,20,0.6015,0.6676
ALLOUSDT,1,1,0.097030,0.097200,0.175204,expired,20,0.5864,0.6499
ALLOUSDT,1,1,0.097930,0.097440,-0.500000,loss,1,0.8092,0.8966
ALLOUSDT,1,1,0.097860,0.098839,1.000000,win,6,0.7617,0.8489
ALLOUSDT,1,1,0.097880,0.097730,-0.153249,expired,20,0.7145,0.7955
ALLOUSDT,1,1,0.099990,0.099490,-0.500000,loss,1,0.8423,0.9315
ALLOUSDT,1,1,0.099980,0.100980,1.000000,win,7,0.7809,0.8606
ALLOUSDT,1,1,0.100010,0.101010,1.000000,win,6,0.7776,0.8605
ALLOUSDT,1,-1,0.101490,0.100475,1.000000,win,1,0.8768,0.9678
APEUSDT,1,1,0.112500,0.113625,1.000000,win,11,0.5584,0.6303
APEUSDT,1,1,0.110900,0.111700,0.721371,expired,20,0.6139,0.6761
APEUSDT,1,1,0.109200,0.108654,-0.500000,loss,3,0.6708,0.7406
APEUSDT,1,1,0.108700,0.108157,-0.500000,loss,2,0.6826,0.7565
APEUSDT,1,1,0.108200,0.109282,1.000000,win,7,0.7013,0.7716
APEUSDT,1,1,0.107900,0.108979,1.000000,win,4,0.7355,0.8171
APEUSDT,1,1,0.108000,0.109080,1.000000,win,3,0.7552,0.8349
APEUSDT,1,1,0.108600,0.109686,1.000000,win,3,0.7308,0.8349
APEUSDT,1,1,0.108900,0.108355,-0.500000,loss,5,0.7484,0.8319
APEUSDT,1,1,0.107800,0.107800,0.000000,expired,20,0.8377,0.9264
APEUSDT,1,1,0.107500,0.107400,-0.093023,expired,20,0.8563,0.9451
APEUSDT,1,1,0.107600,0.107400,-0.185874,expired,20,0.8052,0.8888
APEUSDT,1,-1,0.110000,0.110550,-0.500000,loss,1,0.6097,0.6775
APTUSDT,1,1,0.855500,0.862200,0.783168,expired,20,0.5676,0.6286
ARBUSDT,1,1,0.104000,0.104500,0.480769,expired,20,0.5909,0.6543
ARBUSDT,1,1,0.104000,0.104600,0.576923,expired,20,0.6105,0.6764
ARBUSDT,1,1,0.104100,0.104500,0.384246,expired,20,0.5544,0.6255
ARBUSDT,1,1,0.104000,0.104500,0.480769,expired,20,0.5525,0.6266
ARCUSDT,1,1,0.078500,0.078107,-0.500000,loss,7,0.6661,0.7435
ARCUSDT,1,1,0.078500,0.078107,-0.500000,loss,6,0.6643,0.7353
ARCUSDT,1,1,0.078550,0.078157,-0.500000,loss,5,0.6476,0.7354
ARCUSDT,1,1,0.078550,0.078157,-0.500000,loss,4,0.6576,0.7466
ARCUSDT,1,1,0.078190,0.077799,-0.500000,loss,12,0.6445,0.7091
ARCUSDT,1,1,0.077990,0.077950,-0.051289,expired,20,0.5988,0.6711
ARCUSDT,1,1,0.078210,0.077819,-0.500000,loss,20,0.5800,0.6509
ARCUSDT,1,1,0.076490,0.076108,-0.500000,loss,5,0.6834,0.7725
ARCUSDT,1,1,0.075600,0.076356,1.000000,win,9,0.7541,0.8330
ARCUSDT,1,1,0.075720,0.076477,1.000000,win,9,0.7555,0.8345
ARCUSDT,1,1,0.075740,0.076497,1.000000,win,8,0.7688,0.8492
ARCUSDT,1,1,0.075680,0.076437,1.000000,win,7,0.7688,0.8492
ARCUSDT,1,1,0.075710,0.076467,1.000000,win,6,0.7392,0.8186
ARCUSDT,1,1,0.075770,0.076528,1.000000,win,5,0.7655,0.8460
ARCUSDT,1,1,0.076130,0.076891,1.000000,win,18,0.7303,0.8071
ARCUSDT,1,-1,0.077050,0.076279,1.000000,win,16,0.6085,0.6697
ARCUSDT,1,1,0.075370,0.075490,0.159215,expired,20,0.6179,0.7017
ARCUSDT,1,1,0.075500,0.075470,-0.039735,expired,20,0.6028,0.6805
ARCUSDT,1,1,0.075650,0.076407,1.000000,win,20,0.6566,0.7323
ARCUSDT,1,1,0.075630,0.076386,1.000000,win,19,0.6357,0.7114
ARCUSDT,1,1,0.075620,0.076376,1.000000,win,18,0.6357,0.7049
ARCUSDT,1,1,0.075560,0.076316,1.000000,win,17,0.6105,0.6754
ARCUSDT,1,1,0.075390,0.076144,1.000000,win,16,0.6460,0.7120
ARCUSDT,1,1,0.075470,0.076225,1.000000,win,15,0.6356,0.7006
ARCUSDT,1,1,0.075470,0.076225,1.000000,win,14,0.5739,0.6320
ARCUSDT,1,1,0.075540,0.076295,1.000000,win,13,0.5739,0.6358
ARCUSDT,1,1,0.075490,0.076245,1.000000,win,12,0.6044,0.6669
ARCUSDT,1,1,0.075510,0.076265,1.000000,win,11,0.5831,0.6434
ARCUSDT,1,1,0.075470,0.076225,1.000000,win,10,0.5831,0.6451
ARCUSDT,1,1,0.075520,0.076275,1.000000,win,9,0.5667,0.6356
ARCUSDT,1,-1,0.076570,0.075804,1.000000,win,14,0.6919,0.7846
ARCUSDT,1,-1,0.076630,0.075864,1.000000,win,13,0.6888,0.7884
ARCUSDT,1,-1,0.076560,0.075794,1.000000,win,12,0.6303,0.7158
ARCUSDT,1,-1,0.076620,0.075854,1.000000,win,11,0.6295,0.7148
ARCUSDT,1,-1,0.076480,0.075715,1.000000,win,10,0.6474,0.7281
ARCUSDT,1,-1,0.076520,0.075755,1.000000,win,9,0.6357,0.7172
ARCUSDT,1,-1,0.076490,0.075725,1.000000,win,8,0.5540,0.6283
ARCUSDT,1,-1,0.076560,0.075794,1.000000,win,6,0.5741,0.6492
ARCUSDT,1,-1,0.076440,0.076180,0.340136,expired,20,0.5584,0.6152
ATOMUSDT,1,1,2.349000,2.346000,-0.127714,expired,20,0.6375,0.7028
ATOMUSDT,1,1,2.347000,2.350000,0.127823,expired,20,0.6083,0.6732
ATOMUSDT,1,1,2.354000,2.353000,-0.042481,expired,20,0.6656,0.7385
ATOMUSDT,1,1,2.355000,2.343225,-0.500000,loss,8,0.6144,0.6830
AWEUSDT,1,-1,0.104480,0.103435,1.000000,win,12,0.8656,0.9539
AWEUSDT,1,-1,0.104550,0.103504,1.000000,win,10,0.8668,0.9553
AWEUSDT,1,-1,0.104450,0.103405,1.000000,win,10,0.8579,0.9474
AWEUSDT,1,1,0.100160,0.099659,-0.500000,loss,1,0.8910,1.0250
AWEUSDT,1,1,0.099900,0.099401,-0.500000,loss,11,0.8937,1.0058
AWEUSDT,1,1,0.099640,0.099142,-0.500000,loss,10,0.9188,1.0265
AWEUSDT,1,1,0.099800,0.099301,-0.500000,loss,9,0.9110,1.0253
AWEUSDT,1,1,0.099650,0.099152,-0.500000,loss,8,0.9144,1.0283
AWEUSDT,1,1,0.099850,0.099351,-0.500000,loss,7,0.8991,1.0306
AWEUSDT,1,1,0.099720,0.099221,-0.500000,loss,6,0.9103,1.0429
AWEUSDT,1,1,0.099550,0.099052,-0.500000,loss,5,0.9072,1.0112
AWEUSDT,1,1,0.099600,0.099102,-0.500000,loss,4,0.9040,1.0143
AWEUSDT,1,1,0.099670,0.099172,-0.500000,loss,3,0.8441,0.9944
AWEUSDT,1,1,0.099800,0.099301,-0.500000,loss,2,0.8539,1.0204
AWEUSDT,1,1,0.099650,0.099152,-0.500000,loss,1,0.8600,1.0272
AWEUSDT,1,1,0.099200,0.098704,-0.500000,loss,2,0.9114,1.0957
AWEUSDT,1,1,0.099260,0.098764,-0.500000,loss,1,0.9114,1.0957
AWEUSDT,1,1,0.098790,0.099778,1.000000,win,2,0.9002,1.0610
AWEUSDT,1,1,0.099470,0.100465,1.000000,win,1,0.8843,1.0377
AWEUSDT,1,-1,0.102580,0.103093,-0.500000,loss,1,0.9513,1.0831
AWEUSDT,1,-1,0.104160,0.103118,1.000000,win,13,0.9581,1.1551
AWEUSDT,1,-1,0.103910,0.102871,1.000000,win,17,0.9508,1.1857
AWEUSDT,1,-1,0.103460,0.103977,-0.500000,loss,5,0.9310,1.1494
AWEUSDT,1,-1,0.103630,0.104148,-0.500000,loss,4,0.9400,1.1629
AWEUSDT,1,-1,0.103330,0.103847,-0.500000,loss,3,0.9096,1.0997
AWEUSDT,1,-1,0.103540,0.104058,-0.500000,loss,2,0.9214,1.1333
AWEUSDT,1,-1,0.103520,0.104038,-0.500000,loss,1,0.9206,1.1265
AWEUSDT,1,-1,0.103950,0.102911,1.000000,win,11,0.9395,1.1556
AWEUSDT,1,-1,0.103880,0.102841,1.000000,win,10,0.9202,1.0876
AWEUSDT,1,-1,0.103660,0.102623,1.000000,win,9,0.9340,1.0908
AWEUSDT,1,-1,0.103590,0.102554,1.000000,win,8,0.9364,1.1043
AWEUSDT,1,-1,0.103430,0.102920,0.493087,expired,20,0.9323,1.0432
AWEUSDT,1,-1,0.103320,0.102740,0.561363,expired,20,0.9231,1.0176
AWEUSDT,1,-1,0.103550,0.102515,1.000000,win,4,0.9288,1.0529
AWEUSDT,1,-1,0.103280,0.102247,1.000000,win,19,0.8825,0.9864
AWEUSDT,1,-1,0.102850,0.103364,-0.500000,loss,6,0.8843,0.9730
AWEUSDT,1,-1,0.103140,0.103656,-0.500000,loss,5,0.8932,0.9828
AWEUSDT,1,-1,0.103350,0.102316,1.000000,win,9,0.8831,0.9812
AWEUSDT,1,-1,0.103590,0.102554,1.000000,win,2,0.7933,0.8801
AWEUSDT,1,1,0.099720,0.100717,1.000000,win,5,0.7793,0.8649
AWEUSDT,1,1,0.100050,0.099550,-0.500000,loss,15,0.7667,0.8611
AWEUSDT,1,1,0.100190,0.099689,-0.500000,loss,14,0.7735,0.8521
AWEUSDT,1,1,0.100400,0.099898,-0.500000,loss,1,0.7921,0.8810
AWEUSDT,1,1,0.099970,0.099470,-0.500000,loss,15,0.8167,0.9366
AWEUSDT,1,1,0.099960,0.099460,-0.500000,loss,14,0.8118,0.9199
AWEUSDT,1,1,0.099970,0.099470,-0.500000,loss,13,0.7901,0.8954
AWEUSDT,1,1,0.099990,0.099490,-0.500000,loss,12,0.7738,0.8708
AWEUSDT,1,1,0.099830,0.099331,-0.500000,loss,11,0.7521,0.8563
AWEUSDT,1,1,0.100130,0.099629,-0.500000,loss,2,0.7703,0.8566
AWEUSDT,1,1,0.100050,0.099550,-0.500000,loss,1,0.7660,0.8679
AWEUSDT,1,1,0.099650,0.099152,-0.500000,loss,9,0.8009,0.8890
AWEUSDT,1,1,0.099700,0.099201,-0.500000,loss,8,0.7842,0.8711
AWEUSDT,1,1,0.099730,0.099231,-0.500000,loss,6,0.7812,0.8616
AWEUSDT,1,1,0.099730,0.099231,-0.500000,loss,4,0.7293,0.8291
AWEUSDT,1,1,0.099870,0.099371,-0.500000,loss,3,0.7218,0.8160
AWEUSDT,1,1,0.099740,0.099241,-0.500000,loss,1,0.7402,0.8204
AWEUSDT,1,1,0.099300,0.100293,1.000000,win,7,0.7756,0.8567
AWEUSDT,1,-1,0.101750,0.102259,-0.500000,loss,1,0.9395,1.0370
AWEUSDT,1,-1,0.103040,0.102010,1.000000,win,8,0.9563,1.0741
AWEUSDT,1,-1,0.102570,0.101544,1.000000,win,9,0.9527,1.0767
AWEUSDT,1,-1,0.102610,0.101584,1.000000,win,8,0.9541,1.0782
AWEUSDT,1,-1,0.102730,0.101703,1.000000,win,7,0.9582,1.0865
AWEUSDT,1,-1,0.102180,0.101158,1.000000,win,19,0.9429,1.0893
AWEUSDT,1,-1,0.102160,0.101138,1.000000,win,18,0.9429,1.0822
AWEUSDT,1,-1,0.102170,0.101148,1.000000,win,17,0.9387,1.0775
AWEUSDT,1,-1,0.102140,0.101119,1.000000,win,16,0.9263,1.0632
AWEUSDT,1,-1,0.102030,0.101230,0.784083,expired,20,0.8714,0.9995
AWEUSDT,1,-1,0.101780,0.101070,0.697583,expired,20,0.7242,0.8163
AWEUSDT,1,-1,0.101730,0.101010,0.707756,expired,20,0.6782,0.7645
AWEUSDT,1,-1,0.101990,0.101140,0.833415,expired,20,0.7376,0.8447
AWEUSDT,1,-1,0.101980,0.100960,1.000000,win,19,0.7529,0.8369
AWEUSDT,1,1,0.100820,0.101828,1.000000,win,9,0.6954,0.7679
AWEUSDT,1,1,0.100970,0.100620,-0.346638,expired,20,0.6964,0.7672
AWEUSDT,1,1,0.100680,0.101687,1.000000,win,15,0.6607,0.7271
AWEUSDT,1,-1,0.101610,0.102118,-0.500000,loss,7,0.7903,0.8792
AWEUSDT,1,-1,0.101620,0.102128,-0.500000,loss,6,0.7952,0.8942
AWEUSDT,1,-1,0.101780,0.100762,1.000000,win,11,0.8040,0.9207
AWEUSDT,1,-1,0.101820,0.100802,1.000000,win,10,0.7961,0.9145
AWEUSDT,1,-1,0.101780,0.100762,1.000000,win,9,0.7671,0.8554
AWEUSDT,1,-1,0.101780,0.100762,1.000000,win,8,0.7176,0.7912
AWEUSDT,1,-1,0.101850,0.100831,1.000000,win,7,0.7176,0.7949
AWEUSDT,1,-1,0.101720,0.100703,1.000000,win,7,0.6980,0.7690
AWEUSDT,1,-1,0.100130,0.100230,-0.099870,expired,20,0.6292,0.6946
AWEUSDT,1,-1,0.099800,0.098802,1.000000,win,8,0.5599,0.6306
AWEUSDT,1,-1,0.099600,0.098604,1.000000,win,17,0.5929,0.6666
AWEUSDT,1,-1,0.099620,0.098624,1.000000,win,16,0.5905,0.6507
AWEUSDT,1,-1,0.099500,0.098505,1.000000,win,15,0.5882,0.6524
AWEUSDT,1,1,0.093160,0.092694,-0.500000,loss,1,0.9710,1.0775
AWEUSDT,1,1,0.092610,0.092147,-0.500000,loss,2,0.9663,1.0938
AWEUSDT,1,1,0.092680,0.092217,-0.500000,loss,1,0.9663,1.0966
AWEUSDT,1,1,0.091690,0.091232,-0.500000,loss,1,0.9663,1.1176
AWEUSDT,1,1,0.091340,0.090883,-0.500000,loss,1,0.9780,1.0919
AWEUSDT,1,1,0.090880,0.090426,-0.500000,loss,3,0.9780,1.1051
AWEUSDT,1,1,0.089340,0.089340,0.000000,expired,0,0.9783,1.1006
AZTECUSDT,1,1,0.018590,0.018497,-0.500000,loss,3,0.6088,0.6711
AZTECUSDT,1,1,0.018530,0.018470,-0.323799,expired,20,0.6300,0.7024
AZTECUSDT,1,1,0.018470,0.018655,1.000000,win,5,0.5835,0.6540
AZTECUSDT,1,-1,0.020180,0.020281,-0.500000,loss,1,0.9751,1.0858
AZTECUSDT,1,-1,0.020280,0.020381,-0.500000,loss,1,0.9736,1.0798
AZTECUSDT,1,-1,0.020420,0.020216,1.000000,win,3,0.9762,1.1001
AZTECUSDT,1,-1,0.020350,0.020452,-0.500000,loss,1,0.9769,1.1016
